Block,Area_m2,MeanDepth_m,Volume_m3
Block-585,900.0,1.18,1128.7
Block-586,1600.0,2.17,3700.5
Block-587,1200.0,2.07,2478.3
Block-588,32000.0,-0.38,37963.6
Block-589,2100.0,2.15,4345.3
Block-590,1500.0,1.38,2183.9
Block-591,5900.0,0.71,7864.5
Block-592,900.0,2.74,2510.1
Block-593,1500.0,1.78,2518.9
Block-594,3500.0,2.88,10833.9
Block-595,4300.0,2.08,8942.7
Block-596,5000.0,3.59,16741.5
Block-597,1500.0,-0.29,323.0
Block-598,1500.0,1.08,1804.2
Block-599,900.0,2.01,1835.7
Block-600,9300.0,2.57,25271.3
Block-601,1500.0,0.23,508.4
Block-602,3300.0,2.4,7925.6
Block-603,2900.0,1.56,4504.5
Block-604,900.0,1.39,1224.8
Block-605,1200.0,2.4,2837.2
Block-606,900.0,-0.0,77.6
Block-607,1800.0,0.71,1178.2
Block-608,2000.0,1.79,3582.4
Block-609,6800.0,2.18,15785.7
Block-610,900.0,2.39,2192.5
Block-611,8500.0,0.72,8130.2
Block-612,1700.0,0.43,863.2
Block-613,3400.0,0.49,2020.2
Block-614,6000.0,0.2,2808.9
Block-615,900.0,0.77,741.8
Block-616,13000.0,1.45,21105.8
Block-617,3300.0,1.42,4995.9
Block-618,2300.0,2.49,5450.7
Block-619,900.0,2.21,2056.3
Block-620,2100.0,0.5,1329.4
Block-621,11500.0,0.6,14230.6
Block-622,2300.0,2.09,4672.4
Block-623,2200.0,2.11,4636.6
Block-624,12100.0,2.0,27106.9
Block-625,900.0,2.33,2139.2
Block-626,3300.0,2.39,6885.9
Block-627,2500.0,1.92,5072.8
Block-628,2100.0,1.03,1975.7
Block-629,10300.0,-0.6,3076.8
Block-630,900.0,1.4,1318.4
Block-631,1200.0,2.98,3606.8
Block-632,1200.0,2.63,3223.3
Block-633,6000.0,4.33,27020.9
Block-634,23300.0,3.48,85306.4
Block-635,900.0,1.76,1594.0
Block-636,3000.0,1.35,4792.7
Block-637,900.0,2.1,1895.0
Block-638,900.0,1.54,1391.6
Block-639,1200.0,0.62,733.9
Block-640,2100.0,1.51,3135.5
Block-641,900.0,1.37,1345.5
Block-642,900.0,2.28,2092.3
Block-643,1200.0,2.65,3159.4
Block-644,900.0,2.23,1970.9
Block-645,1500.0,0.93,1395.0
Block-646,2700.0,2.02,5454.0
Block-647,900.0,1.24,1126.0
Block-648,1200.0,1.47,1779.9
Block-649,900.0,0.32,315.6
Block-650,1400.0,2.18,2958.6
Block-651,900.0,1.04,929.0
Block-652,900.0,1.87,1772.3
Block-653,900.0,0.93,965.8
Block-654,1200.0,1.35,1687.7
Block-655,900.0,1.22,1155.0
Block-656,1200.0,2.25,2684.7
Block-657,7000.0,2.75,18198.2
Block-658,1500.0,1.26,1964.7
Block-659,1500.0,5.64,8310.9
Block-660,8400.0,0.03,7276.8
Block-661,6200.0,5.26,30898.2
Block-662,900.0,2.28,2059.4
Block-663,11000.0,1.84,21967.3
Block-664,1200.0,2.71,3282.8
Block-665,1400.0,1.39,2008.8
Block-666,3400.0,1.45,5370.8
Block-667,3100.0,-0.21,372.2
Block-668,1500.0,1.86,2943.9
Block-669,14900.0,-0.11,15680.7
Block-670,11600.0,4.62,51781.8
Block-671,3200.0,1.47,4589.2
Block-672,5800.0,3.26,18926.3
Block-673,9900.0,3.33,38613.0
Block-674,3000.0,0.69,2210.3
Block-675,1500.0,4.43,7308.2
Block-676,1200.0,2.2,2688.0
Block-677,6200.0,0.11,2725.3
Block-678,1200.0,2.76,3361.8
Block-679,900.0,2.75,2455.8
Block-680,2800.0,3.54,9659.7
Block-681,16700.0,1.67,31104.3
Block-682,17700.0,3.72,60400.3
Block-683,900.0,1.18,1130.7
Block-684,1200.0,1.85,2247.0
Block-685,2000.0,1.75,3489.7
Block-686,2200.0,2.59,5747.9
Block-687,900.0,1.58,1422.3
Block-688,4100.0,1.87,7533.5
Block-689,900.0,1.03,952.3
Block-690,1500.0,1.39,1871.0
Block-691,15900.0,0.67,14573.5
Block-692,2100.0,1.74,3640.7
Block-693,4200.0,-0.07,2156.8
Block-694,4000.0,3.29,15054.6
Block-695,6800.0,1.97,18406.2
Block-696,1200.0,0.54,771.5
Block-697,6800.0,3.58,23571.7
Block-698,3100.0,0.86,2826.8
Block-699,3400.0,2.5,8257.7
Block-700,15600.0,3.68,58542.9
Block-701,10500.0,1.58,16999.8
Block-702,19300.0,4.92,87182.9
Block-703,7800.0,2.06,19513.6
Block-704,7200.0,2.69,20656.1
Block-705,900.0,1.55,1447.0
Block-706,25800.0,1.97,63099.2
Block-707,12400.0,2.78,34715.2
Block-708,900.0,1.68,1597.6
Block-709,5600.0,0.86,6269.6
Block-710,900.0,0.01,84.1
Block-711,900.0,0.86,764.3
Block-712,3000.0,3.32,9186.1
Block-713,1800.0,2.94,5418.1
Block-714,1200.0,0.82,1097.1
Block-715,2800.0,2.15,6078.6
Block-716,900.0,1.46,1310.6
Block-717,4100.0,5.42,20675.4
Block-718,2300.0,3.08,7411.4
Block-719,900.0,1.3,1218.0
Block-720,6700.0,0.57,4556.8
Block-721,1500.0,1.59,2499.7
Block-722,900.0,3.23,2931.0
Block-723,1200.0,2.91,3485.8
